issue_utc,model,location,bucket,n_pairs,generated_at,temp_mae,temp_rmse,temp_acc1,temp_acc2,precip_binary_acc,precip_ts,precip_far,precip_mar,precip_ets,precip_bias
2026-08-25T00:00:00Z,dwd_icon_global,万宁,0-24h,8,2026-08-27T09:59:26Z,1.075,1.1158,50.0,100.0,87.5,0.0,,1.0,0.0,0.0
2026-08-25T00:00:00Z,dwd_icon_global,博白,0-24h,8,2026-08-27T09:59:26Z,0.2625,0.2937,100.0,100.0,75.0,0.5,0.0,0.5,0.33,0.5
2026-08-25T00:00:00Z,dwd_icon_global,平南,0-24h,8,2026-08-27T09:59:26Z,0.9375,1.0624,75.0,100.0,62.5,0.5,0.4,0.25,0.14,1.25
2026-08-25T00:00:00Z,dwd_icon_global,梧州,0-24h,8,2026-08-27T09:59:26Z,0.8875,0.8965,87.5,100.0,87.5,0.5,0.5,0.0,0.43,2.0
2026-08-25T00:00:00Z,ecmwf_ifs,万宁,0-24h,8,2026-08-27T09:59:26Z,0.8375,0.9454,62.5,100.0,62.5,0.25,0.75,0.0,0.14,4.0
2026-08-25T00:00:00Z,ecmwf_ifs,博白,0-24h,8,2026-08-27T09:59:26Z,0.9375,1.0718,37.5,100.0,50.0,0.0,,1.0,0.0,0.0
2026-08-25T00:00:00Z,ecmwf_ifs,平南,0-24h,8,2026-08-27T09:59:26Z,0.525,0.6021,100.0,100.0,75.0,0.5,0.0,0.5,0.33,0.5
2026-08-25T00:00:00Z,ecmwf_ifs,梧州,0-24h,8,2026-08-27T09:59:26Z,0.525,0.5545,100.0,100.0,87.5,0.0,,1.0,0.0,0.0
2026-08-25T00:00:00Z,ncep_gfs_global,万宁,0-24h,8,2026-08-27T09:59:26Z,0.2375,0.2937,100.0,100.0,87.5,0.0,,1.0,0.0,0.0
2026-08-25T00:00:00Z,ncep_gfs_global,博白,0-24h,8,2026-08-27T09:59:26Z,1.0375,1.1352,37.5,100.0,62.5,0.25,0.0,0.75,0.14,0.25
2026-08-25T00:00:00Z,ncep_gfs_global,平南,0-24h,8,2026-08-27T09:59:26Z,0.4875,0.5734,87.5,100.0,37.5,0.0,1.0,1.0,-0.11,0.25
2026-08-25T00:00:00Z,ncep_gfs_global,梧州,0-24h,8,2026-08-27T09:59:26Z,1.7125,1.7396,12.5,87.5,37.5,0.17,0.8333,0.0,0.05,6.0
