issue_utc,model,location,bucket,n_pairs,generated_at,temp_mae,temp_rmse,temp_acc1,temp_acc2,precip_binary_acc,precip_ts,precip_far,precip_mar
2026-08-25T00:00:00Z,dwd_icon_global,万宁,0-24h,24,2026-08-27T09:59:26Z,0.7875,0.9181,75.0,100.0,50.0,0.2,0.0,0.8
2026-08-25T00:00:00Z,dwd_icon_global,博白,0-24h,24,2026-08-27T09:59:26Z,0.4583,0.5408,95.8333,100.0,58.3333,0.41,0.4167,0.4167
2026-08-25T00:00:00Z,dwd_icon_global,平南,0-24h,24,2026-08-27T09:59:26Z,0.8458,1.0726,75.0,91.6667,58.3333,0.47,0.4706,0.1818
2026-08-25T00:00:00Z,dwd_icon_global,梧州,0-24h,24,2026-08-27T09:59:26Z,0.7417,0.7995,83.3333,100.0,54.1667,0.27,0.5556,0.6
2026-08-25T00:00:00Z,ecmwf_ifs,万宁,0-24h,24,2026-08-27T09:59:26Z,0.7,0.8524,75.0,100.0,83.3333,0.79,0.2105,0.0
2026-08-25T00:00:00Z,ecmwf_ifs,博白,0-24h,24,2026-08-27T09:59:26Z,1.0917,1.2734,41.6667,95.8333,66.6667,0.5,0.3333,0.3333
2026-08-25T00:00:00Z,ecmwf_ifs,平南,0-24h,24,2026-08-27T09:59:26Z,0.725,0.9309,79.1667,100.0,58.3333,0.41,0.4615,0.3636
2026-08-25T00:00:00Z,ecmwf_ifs,梧州,0-24h,24,2026-08-27T09:59:26Z,1.1417,1.5354,62.5,87.5,70.8333,0.53,0.3846,0.2
2026-08-25T00:00:00Z,ncep_gfs_global,万宁,0-24h,24,2026-08-27T09:59:26Z,0.4792,0.6586,95.8333,95.8333,37.5,0.0,,1.0
2026-08-25T00:00:00Z,ncep_gfs_global,博白,0-24h,24,2026-08-27T09:59:26Z,0.9167,1.0548,50.0,100.0,79.1667,0.64,0.1818,0.25
2026-08-25T00:00:00Z,ncep_gfs_global,平南,0-24h,24,2026-08-27T09:59:26Z,0.7958,0.9757,58.3333,95.8333,41.6667,0.33,0.5882,0.3636
2026-08-25T00:00:00Z,ncep_gfs_global,梧州,0-24h,24,2026-08-27T09:59:26Z,1.5375,1.6739,20.8333,83.3333,62.5,0.53,0.4737,0.0
